CID	IAUName	Class	Peakrmag	MJD	zCMB	e_zCMB	muSz	e_muSz	AVM	e_AVM	dm15z	e_dm15z	AVz	e_AVz
20142	       2007qg	       SNIa	21.1	54412.3	0.314679	0.005	40.91	0.23	0.11	0.13	0.94	0.07	-0.1	0.12
18339	             	      zSNIa	21.6	54365.4	0.344735	0.000024	41.42	0.29	0.09	0.15	0.94	0.1	-0.2	0.19
2031	       2005fm	       SNIa	19.8	53636.1	0.151859	0.0005	39.25	0.18	-0.01	0.07	0.94	0.04	-0.23	0.07
7882	             	      zSNIa	21.3	53674.3	0.33449	0.000133	41.16	0.23	-0.04	0.12	0.94	0.09	-0.25	0.14
16715	             	      zSNIa	22.1	54053.1	0.208678	0.000054	       	      	-0.07	0.24	0.94	0.21	-0.26	0.3
18389	             	      zSNIa	21.7	54365.4	0.243843	0.00001	40.24	0.26	1.36	0.15	0.93	0.1	1.68	0.2
14554	             	      zSNIa	22.2	53990.4	0.249493	0.000011	42.11	0.49	0.71	0.24	0.93	0.22	1.03	0.36
20757	             	      zSNIa	22.1	54412.4	0.36452	0.000118	41.14	0.36	0.93	0.22	0.93	0.16	0.99	0.3
14074	             	      zSNIa	21.6	54020.2	0.260383	0.000013	40.78	0.24	0.65	0.15	0.93	0.09	0.72	0.18
12852	             	      zSNIa	21.7	53989.2	0.262708	0.01	40.76	0.29	0.53	0.18	0.93	0.12	0.66	0.23
16417	             	      zSNIa	21.5	54058.3	0.290972	0.000034	41.05	0.29	0.51	0.18	0.93	0.13	0.59	0.2
16172	             	      zSNIa	21.3	54053.4	0.218846	0.000021	40.38	0.25	0.46	0.23	0.93	0.11	0.58	0.17
20364	       2007qo	       SNIa	20.9	54423.3	0.217279	0.000018	40.22	0.26	0.55	0.17	0.93	0.11	0.45	0.12
20064	       2007om	       SNIa	19.1	54416.2	0.10351	0.000018	38.36	0.18	0.47	0.06	0.93	0.04	0.44	0.06
19353	       2007nj	       SNIa	20.3	54393.4	0.153245	0.000014	39.4	0.19	0.37	0.07	0.93	0.04	0.42	0.07
3535	             	      zSNIa	21.5	53635.4	0.307551	0.00004	41.07	0.26	0.45	0.17	0.93	0.1	0.39	0.19
12804	             	      zSNIa	20.1	53990.4	0.132512	0.000011	39.11	0.19	0.27	0.08	0.93	0.07	0.39	0.1
19559	             	      zSNIa	21.8	54392.4	0.428868	0.000062	41.76	0.31	0.24	0.25	0.93	0.15	0.33	0.27
8600	             	      zSNIa	21.6	53687.4	0.436955	0.000053	42.23	0.37	0.33	0.24	0.93	0.18	0.28	0.32
13796	       2006hl	       SNIa	19.8	54008.2	0.14729	0.000022	39.16	0.18	0.18	0.06	0.93	0.03	0.21	0.06
18463	       2007kv	       SNIa	21.1	54376.4	0.266866	0.000024	40.7	0.22	0.26	0.11	0.93	0.06	0.14	0.14
15553	             	      zSNIa	21.7	54028.1	0.333728	0.000104	41.29	0.29	0.34	0.16	0.93	0.1	0.13	0.19
14343	             	      zSNIa	21.3	54009.3	0.341448	0.000028	40.99	0.22	0.25	0.11	0.93	0.07	0.02	0.13
8742	             	      zSNIa	21.1	53685.3	0.213996	0.000021	40.92	0.24	0.33	0.15	0.93	0.08	-0.05	0.16
15761	             	      zSNIa	22	54029.3	0.353604	0.000107	42.12	0.37	0.16	0.19	0.93	0.11	-0.05	0.23
14298	       2006jj	       SNIa	21.2	54009.1	0.260699	0.005	40.87	0.22	0.16	0.11	0.93	0.05	-0.05	0.12
19424	             	      zSNIa	21.8	54394.2	0.362909	0.000079	41.64	0.31	0.21	0.21	0.93	0.14	-0.06	0.25
13909	             	      zSNIa	21.3	54009.3	0.291893	0.000063	41.13	0.22	0.06	0.11	0.93	0.06	-0.18	0.13
1371	       2005fh	       SNIa	19.1	53636.3	0.117969	0.000026	38.6	0.18	0.04	0.05	0.93	0.03	-0.18	0.05
